품목코드,품목명,매입량,매입금액,매출량,매출금액,반출량,반출금액,반입량,반입금액,단순평가이익,반입평가손
071-03,71 곤색지퍼 L,0,0,2,"13,000",0,0,0,0,"2,800",0
072-07,72 블루지퍼 4XL,0,0,7,"45,500",0,0,0,0,"10,500",0
076-03,76 블루단추 L,0,0,3,"19,500",0,0,0,0,"3,300",0
076-04,76 블루단추 XL,0,0,5,"32,500",0,0,0,0,"5,500",0
076-05,76 블루단추 2XL,0,0,2,"13,000",0,0,0,0,"2,200",0
076-06,76 블루단추 3XL,0,0,1,"6,500",0,0,0,0,"1,100",0
076-07,76 블루단추 4XL,0,0,2,"13,000",0,0,0,0,"2,200",0
077-02,77 카라곤색단추 M,0,0,1,"7,500",0,0,0,0,"1,800",0
077-03,77 카라곤색단추 L,0,0,2,"15,000",0,0,0,0,"3,600",0
077-04,77 카라곤색단추 XL,0,0,10,"75,000",0,0,0,0,"18,000",0
077-05,77 카라곤색단추 2XL,0,0,2,"15,000",0,0,0,0,"3,600",0
077-06,77 카라곤색단추 3XL,0,0,1,"7,500",0,0,0,0,"1,800",0
077-07,77 카라곤색단추 4XL,0,0,2,"15,000",0,0,0,0,"3,600",0
1131-01,131 M,0,0,8,"99,000",0,0,0,0,"19,000",0
1131-02,131 L,0,0,17,"214,000",0,0,0,0,"44,000",0
1131-03,131 XL,0,0,28,"348,000",0,0,0,0,"68,000",0
1131-04,131 2XL,0,0,9,"111,000",0,0,0,0,"21,000",0
1131-05,131 3XL,0,0,1,"12,000",0,0,0,0,"2,000",0
1133-01,133 M,0,0,1,"14,000",0,0,0,0,"4,000",0
1133-02,133 L,0,0,13,"172,000",0,0,0,0,"42,000",0
1133-03,133 XL,0,0,19,"256,000",0,0,0,0,"66,000",0
1133-04,133 2XL,0,0,5,"70,000",0,0,0,0,"20,000",0
1133-05,133 3XL,0,0,4,"56,000",0,0,0,0,"16,000",0
1134-01,134상 S,0,0,3,0,0,0,0,0,"-31,500",0
1134-02,134상 M,0,0,0,0,0,0,-2,0,0,"21,000"
1134-03,134상 L,0,0,17,"221,000",0,0,0,0,"42,500",0
1134-04,134상 XL,0,0,15,"195,000",0,0,0,0,"37,500",0
1134-06,134상 3XL,0,0,1,"13,000",0,0,0,0,"2,500",0
1135-01,135상 S,0,0,2,"27,000",0,0,0,0,"6,400",0
1135-03,135상 L,0,0,61,"836,500",0,0,0,0,"208,200",0
1135-04,135상 XL,0,0,55,"762,500",0,0,0,0,"196,000",0
1135-05,135상 2XL,0,0,35,"479,500",0,0,0,0,"119,000",0
1135-06,135상 3XL,0,0,20,"278,000",0,0,0,0,"72,000",0
1135-07,135상 4XL,0,0,4,"54,000",0,0,0,0,"12,800",0
1136-01,136상 S,0,0,3,"43,000",0,0,0,0,"13,600",0
1136-02,136상 M,0,0,9,"112,500",0,0,0,0,"24,300",0
1136-03,136상 L,0,0,5,"62,500",0,0,0,0,"13,500",0
1136-04,136상 XL,0,0,2,"25,000",0,0,0,0,"5,400",0
1136-05,136상 2XL,0,0,4,"50,000",0,0,0,0,"10,800",0
117-2,117홑겹내피 95,0,0,42,"1,088,000",0,0,0,0,"290,000",0
117-94,117k 홑겹내피 105,50,"1,222,300",50,"1,400,000",0,0,0,0,"177,700",0
128-2,128J L,0,0,6,"164,000",0,0,0,0,"92,600",0
128-3,128J XL,0,0,10,"210,000",0,0,0,0,"91,000",0
128-4,128J 2XL,0,0,6,"114,000",0,0,0,0,"42,600",0
128-5,128J 3XL,0,0,4,"76,000",0,0,0,0,"28,400",0
129-01,129 M,0,0,1,"17,000",0,0,0,0,"3,854",0
129-02,129 L,0,0,8,"136,000",0,0,0,0,"30,832",0
129-03,129 XL,0,0,3,"51,000",0,0,0,0,"11,562",0
129-04,129 2XL,0,0,1,"17,000",0,0,0,0,"3,854",0
130-02,130 M,0,0,7,"129,000",0,0,0,0,"33,100",0
130-03,130 L,0,0,9,"168,000",0,0,0,0,"44,700",0
130-04,130 XL,0,0,21,"414,000",0,0,0,0,"126,300",0
130-05,130 2XL,0,0,17,"333,000",0,0,0,0,"100,100",0
130-06,130 3XL,0,0,5,"102,000",0,0,0,0,"33,500",0
130-07,130 4XL,0,0,2,"39,000",0,0,0,0,"11,600",0
139-1,139 M,0,0,9,"125,000",0,0,-1,"-12,000","26,000","-1,000"
139-2,139 L,0,0,12,"162,000",0,0,0,0,"30,000",0
139-3,139 XL,0,0,13,"174,000",0,0,0,0,"31,000",0
139-4,139 2XL,0,0,4,"48,000",0,0,0,0,"4,000",0
139-5,139 3XL,0,0,5,"60,000",0,0,-1,"-12,000","5,000","-1,000"
140-11,140J  90,0,0,8,"112,000",0,0,0,0,"36,000",0
140-12,140J  95,0,0,59,"859,000",0,0,0,0,"298,500",0
140-13,140J  100,0,0,43,"604,000",0,0,0,0,"195,500",0
140-14,140J  105,0,0,44,"624,000",0,0,0,0,"206,000",0
140-15,140J  110,0,0,22,"309,000",0,0,0,0,"100,000",0
140-16,140J  115,0,0,9,"127,000",0,0,0,0,"41,500",0
140-17,140J  120,0,0,1,"14,000",0,0,0,0,"4,500",0
141H-02,141-1상 M,0,0,0,0,0,0,-2,0,0,"19,540"
141H-03,141-1상 L,0,0,0,0,0,0,-6,0,0,"58,620"
203-1,203 M,0,0,1,"22,000",0,0,0,0,"1,600",0
203-2,203 L,0,0,3,"66,000",0,0,0,0,"4,800",0
204-1,204 M,0,0,40,"640,000",0,0,0,0,"116,800",0
204-2,204 L,0,0,81,"1,210,000",0,0,0,0,"150,520",0
204-3,204 XL,0,0,19,"255,000",0,0,0,0,"6,480",0
204-4,204 2XL,0,0,2,"30,000",0,0,0,0,"3,840",0
204-5,204 3XL,0,0,3,"45,000",0,0,0,0,"5,760",0
205-1,205 M,0,0,22,"399,000",0,0,-1,0,"33,800","16,600"
205-2,205 L,0,0,27,"418,000",0,0,0,0,"-30,200",0
205-3,205 XL,0,0,1,0,0,0,0,0,"-16,600",0
205-4,205 2XL,0,0,19,"285,000",0,0,-3,0,"-30,400","49,800"
206-1,206 M,0,0,6,"108,000",0,0,0,0,"30,000",0
206-2,206 L,0,0,16,"278,000",0,0,0,0,"70,000",0
206-3,206 XL,0,0,4,"70,000",0,0,0,0,"18,000",0
206-4,206 2XL,0,0,10,"172,000",0,0,0,0,"42,000",0
208-1,208 M,0,0,22,"487,000",0,0,0,0,"118,280",0
208-2,208 L,0,0,63,"1,398,000",0,0,-2,"-44,000","342,120","-10,480"
208-3,208 XL,0,0,77,"1,703,000",0,0,0,0,"412,480",0
