품목코드,품목명,분류명,브랜드명,전재고,전재고액,현재고,단가,현재고액
071-01,71 곤색지퍼 S,하복티셔츠,덕주,93,"474,300",93,"5,100","474,300"
071-02,71 곤색지퍼 M,하복티셔츠,덕주,102,"520,200",102,"5,100","520,200"
071-03,71 곤색지퍼 L,하복티셔츠,덕주,333,"1,698,300",331,"5,100","1,688,100"
071-04,71 곤색지퍼 XL,하복티셔츠,덕주,326,"1,662,600",326,"5,100","1,662,600"
071-05,71 곤색지퍼 2XL,하복티셔츠,덕주,152,"775,200",152,"5,100","775,200"
071-06,71 곤색지퍼 3XL,하복티셔츠,덕주,99,"504,900",99,"5,100","504,900"
071-07,71 곤색지퍼 4XL,하복티셔츠,덕주,33,"168,300",33,"5,100","168,300"
072-01,72 블루지퍼 S,하복티셔츠,덕주,31,"155,000",31,"5,000","155,000"
072-02,72 블루지퍼 M,하복티셔츠,덕주,220,"1,100,000",220,"5,000","1,100,000"
072-03,72 블루지퍼 L,하복티셔츠,덕주,179,"895,000",179,"5,000","895,000"
072-04,72 블루지퍼 XL,하복티셔츠,덕주,270,"1,350,000",270,"5,000","1,350,000"
072-05,72 블루지퍼 2XL,하복티셔츠,덕주,150,"750,000",150,"5,000","750,000"
072-06,72 블루지퍼 3XL,하복티셔츠,덕주,48,"240,000",48,"5,000","240,000"
072-07,72 블루지퍼 4XL,하복티셔츠,덕주,42,"210,000",35,"5,000","175,000"
073-01,73 차이나곤색지퍼 S,하복티셔츠,덕주,47,"253,800",47,"5,400","253,800"
073-02,73 차이나곤색지퍼 M,하복티셔츠,덕주,264,"1,425,600",264,"5,400","1,425,600"
073-03,73 차이나곤색지퍼 L,하복티셔츠,덕주,279,"1,506,600",279,"5,400","1,506,600"
073-04,73 차이나곤색지퍼 XL,하복티셔츠,덕주,359,"1,938,600",359,"5,400","1,938,600"
073-05,73 차이나곤색지퍼 2XL,하복티셔츠,덕주,65,"351,000",65,"5,400","351,000"
073-06,73 차이나곤색지퍼 3XL,하복티셔츠,덕주,118,"637,200",118,"5,400","637,200"
073-07,73 차이나곤색지퍼 4XL,하복티셔츠,덕주,45,"243,000",45,"5,400","243,000"
074-01,74 차이나블루지퍼 S,하복티셔츠,덕주,47,"253,800",47,"5,400","253,800"
074-02,74 차이나블루지퍼 M,하복티셔츠,덕주,231,"1,247,400",231,"5,400","1,247,400"
074-03,74 차이나블루지퍼 L,하복티셔츠,덕주,273,"1,474,200",273,"5,400","1,474,200"
074-04,74 차이나블루지퍼 XL,하복티셔츠,덕주,288,"1,555,200",288,"5,400","1,555,200"
074-05,74 차이나블루지퍼 2XL,하복티셔츠,덕주,165,"891,000",165,"5,400","891,000"
074-06,74 차이나블루지퍼 3XL,하복티셔츠,덕주,45,"243,000",45,"5,400","243,000"
074-07,74 차이나블루지퍼 4XL,하복티셔츠,덕주,48,"259,200",48,"5,400","259,200"
075-01,75 곤색단추 S,하복티셔츠,덕주,47,"253,800",47,"5,400","253,800"
075-02,75 곤색단추 M,하복티셔츠,덕주,133,"718,200",133,"5,400","718,200"
075-03,75 곤색단추 L,하복티셔츠,덕주,361,"1,949,400",361,"5,400","1,949,400"
075-04,75 곤색단추 XL,하복티셔츠,덕주,323,"1,744,200",323,"5,400","1,744,200"
075-05,75 곤색단추 2XL,하복티셔츠,덕주,253,"1,366,200",253,"5,400","1,366,200"
075-06,75 곤색단추 3XL,하복티셔츠,덕주,86,"464,400",86,"5,400","464,400"
075-07,75 곤색단추 4XL,하복티셔츠,덕주,21,"113,400",21,"5,400","113,400"
076-01,76 블루단추 S,하복티셔츠,덕주,50,"270,000",50,"5,400","270,000"
076-02,76 블루단추 M,하복티셔츠,덕주,175,"945,000",175,"5,400","945,000"
076-03,76 블루단추 L,하복티셔츠,덕주,334,"1,803,600",331,"5,400","1,787,400"
076-04,76 블루단추 XL,하복티셔츠,덕주,268,"1,447,200",263,"5,400","1,420,200"
076-05,76 블루단추 2XL,하복티셔츠,덕주,159,"858,600",157,"5,400","847,800"
076-06,76 블루단추 3XL,하복티셔츠,덕주,101,"545,400",100,"5,400","540,000"
076-07,76 블루단추 4XL,하복티셔츠,덕주,29,"156,600",27,"5,400","145,800"
077-01,77 카라곤색단추 S,하복티셔츠,덕주,91,"518,700",91,"5,700","518,700"
077-02,77 카라곤색단추 M,하복티셔츠,덕주,203,"1,157,100",202,"5,700","1,151,400"
077-03,77 카라곤색단추 L,하복티셔츠,덕주,369,"2,103,300",367,"5,700","2,091,900"
077-04,77 카라곤색단추 XL,하복티셔츠,덕주,223,"1,271,100",213,"5,700","1,214,100"
077-05,77 카라곤색단추 2XL,하복티셔츠,덕주,188,"1,071,600",186,"5,700","1,060,200"
077-06,77 카라곤색단추 3XL,하복티셔츠,덕주,80,"456,000",79,"5,700","450,300"
077-07,77 카라곤색단추 4XL,하복티셔츠,덕주,24,"136,800",22,"5,700","125,400"
078-01,78 카라블루단추 S,하복티셔츠,덕주,85,"484,500",85,"5,700","484,500"
078-02,78 카라블루단추 M,하복티셔츠,덕주,234,"1,333,800",234,"5,700","1,333,800"
078-03,78 카라블루단추 L,하복티셔츠,덕주,319,"1,818,300",319,"5,700","1,818,300"
078-04,78 카라블루단추 XL,하복티셔츠,덕주,255,"1,453,500",255,"5,700","1,453,500"
078-05,78 카라블루단추 2XL,하복티셔츠,덕주,197,"1,122,900",197,"5,700","1,122,900"
078-06,78 카라블루단추 3XL,하복티셔츠,덕주,121,"689,700",121,"5,700","689,700"
078-07,78 카라블루단추 4XL,하복티셔츠,덕주,36,"205,200",36,"5,700","205,200"
079-10,79블루스티치 85,,,1,"5,630",1,"5,630","5,630"
079-11,79블루스티치 90,,,6,"33,780",6,"5,630","33,780"
079-12,79블루스티치 95,,,-9,"-50,670",-9,"5,630","-50,670"
079-13,79블루스티치 100,,,4,"22,520",4,"5,630","22,520"
079-14,79블루스티치  105,,,194,"1,092,220",194,"5,630","1,092,220"
079-15,79블루스티치 110,,,150,"844,500",150,"5,630","844,500"
079-16,79블루스티치 115,,,53,"298,390",53,"5,630","298,390"
079-17,79블루스티치  120,,,15,"84,450",15,"5,630","84,450"
1010-10,1010 티셔츠,,,0,0,0,"5,700",0
1010-11,1010-1 티셔츠,,,0,0,0,"15,500",0
1010-20,1010 망사조끼,,스마트,0,0,0,"5,000",0
1010-21,노란조끼,OEM,,0,0,0,"12,000",0
1010-40,TB304,,,0,0,0,"24,000",0
1010-41,TB584,,,0,0,0,"32,000",0
1010-43,cp901,,,0,0,0,"51,000",0
1010-71,1071 티셔츠,OEM,토토,0,0,0,"8,800",0
1010-72,1072 옥스포드,OEM,자체,0,0,0,"16,080",0
1010-73,1073 티셔츠,OEM,토토,0,0,0,"12,000",0
1010-74,티셔츠1,OEM,토토,0,0,0,"15,500",0
1010-75,티셔츠2,OEM,토토,0,0,0,"13,500",0
1010-802,1010 티셔츠 B,OEM,나염포함,0,0,0,"10,473",0
1010-90,1010 기모 등산바지,,포맨,0,0,0,"7,700",0
1010-91,1010 등산바지 남자,OEM,,0,0,0,"11,000",0
1010-92,1010 등산바지 여자,OEM,,0,0,0,"11,000",0
1010-93,1010 망사조끼,OEM,,0,0,0,"7,000",0
1010-95,1010 기모 티셔츠,OEM,토토,0,0,0,"14,893",0
1010-96,1010 P.K 폴로긴팔,OEM,세화,0,0,0,"5,200",0
