지사코드,지사명,매장코드,매장명,매출일자,요일,POS 실제개점시간,POS 실제마감시간,총매출,총할인,실매출,매장매출,APP선주문매출,DT매출,배달매출(배달비포함),배달비,순매출(부가세제외),순매출(부가세),현금,신용,기타,카카오페이,상품권,써브카드,포인트,페이코,일반할인,서비스할인,교환권할인,직원식사,프로모션,끝전,쿠폰(APP),영수건수,영수단가,취소건수
448,부산김해지사,68188,김해진영,2018-11-01,목,7:53,22:42,"793,500","34,300","759,200","759,200",0,0,0,0,"690,171","69,029","121,300","558,100","79,800",0,0,0,0,0,0,"11,900",0,"22,400",0,0,0,71,"10,846",1
448,부산김해지사,68188,김해진영,2018-11-02,금,7:44,22:49,"1,774,400","21,200","1,753,200","1,753,200",0,0,0,0,"1,593,806","159,394","220,800","1,458,800","73,600",0,0,0,0,0,"1,900","6,000",0,"13,300",0,0,0,223,"7,933",2
448,부산김해지사,68188,김해진영,2018-11-03,토,7:18,22:30,"1,158,600","56,100","1,102,500","1,102,500",0,0,0,0,"1,002,248","100,252","166,000","728,900","207,600",0,0,0,0,0,0,"23,800",0,"32,300",0,0,0,117,"9,587",2
448,부산김해지사,68188,김해진영,2018-11-04,일,7:30,22:31,"1,377,900","44,780","1,333,120","1,333,120",0,0,0,0,"1,211,905","121,215","225,100","968,420","139,600",0,0,0,0,0,"1,480","10,000",0,"33,300",0,0,0,132,"10,099",0
448,부산김해지사,68188,김해진영,2018-11-05,월,7:57,22:51,"768,700","43,400","725,300","725,300",0,0,0,0,"659,341","65,959","123,700","528,800","72,800",0,0,0,0,0,0,"16,500",0,"26,900",0,0,0,88,"8,337",1
448,부산김해지사,68188,김해진영,2018-11-06,화,7:47,22:50,"840,500","35,700","804,800","804,800",0,0,0,0,"731,617","73,183","194,600","525,300","84,900",0,0,0,0,0,0,"7,000",0,"28,700",0,0,0,93,"8,654",0
448,부산김해지사,68188,김해진영,2018-11-07,수,7:41,22:49,"773,300","39,580","733,720","733,720",0,0,0,0,"667,002","66,718","142,400","449,920","141,400",0,0,0,0,0,"1,380","9,000",0,"29,200",0,0,0,90,"8,338",2
448,부산김해지사,68188,김해진영,2018-11-08,목,7:52,22:51,"828,600","44,500","784,100","784,100",0,0,0,0,"712,800","71,300","98,900","530,500","154,700",0,0,0,0,0,0,"15,300",0,"29,200",0,0,0,81,"9,680",0
448,부산김해지사,68188,김해진영,2018-11-09,금,7:48,22:55,"875,300","30,500","844,800","844,800",0,0,0,0,"767,978","76,822","112,500","641,300","91,000",0,0,0,0,0,0,"11,600",0,"18,900",0,0,0,94,"9,284",3
448,부산김해지사,68188,김해진영,2018-11-10,토,7:21,22:30,"1,160,300","61,700","1,098,600","1,098,600",0,0,0,0,"998,703","99,897","196,200","814,300","88,100",0,0,0,0,0,0,"29,400",0,"32,300",0,0,0,131,"8,583",3
448,부산김해지사,68188,김해진영,2018-11-11,일,7:06,22:30,"1,052,600","26,620","1,025,980","1,025,980",0,0,0,0,"932,706","93,274","146,800","757,480","121,700",0,0,0,0,0,"4,520","15,100",0,"7,000",0,0,0,107,"9,771",2
448,부산김해지사,68188,김해진영,2018-11-12,월,7:58,22:41,"846,300","37,800","808,500","808,500",0,0,0,0,"734,985","73,515","160,200","567,700","80,600",0,0,0,0,0,0,"21,900",0,"15,900",0,0,0,90,"8,983",0
448,부산김해지사,68188,김해진영,2018-11-13,화,7:49,22:52,"549,800","34,400","515,400","515,400",0,0,0,0,"468,531","46,869","133,200","352,200","30,000",0,0,0,0,0,300,"2,000",0,"32,100",0,0,0,69,"7,693",2
448,부산김해지사,68188,김해진영,2018-11-14,수,7:47,22:45,"910,500","27,100","883,400","883,400",0,0,0,0,"803,068","80,332","180,200","538,000","165,200",0,0,0,0,0,300,"15,300",0,"11,500",0,0,0,98,"9,299",3
448,부산김해지사,68188,김해진영,2018-11-15,목,7:43,22:48,"765,600","43,100","722,500","722,500",0,0,0,0,"656,807","65,693","132,950","538,750","50,800",0,0,0,0,0,0,"8,600",0,"34,500",0,0,0,87,"8,601",3
448,부산김해지사,68188,김해진영,2018-11-16,금,7:47,22:45,"956,100","39,880","916,220","916,220",0,0,0,0,"832,921","83,299","153,720","621,700","140,800",0,0,0,0,0,"1,080","9,000",0,"29,800",0,0,0,99,"9,446",2
448,부산김해지사,68188,김해진영,2018-11-17,토,7:17,22:30,"1,210,000","31,500","1,178,500","1,178,500",0,0,0,0,"1,071,340","107,160","232,100","827,300","119,100",0,0,0,0,0,0,"15,300",0,"16,200",0,0,0,129,"9,280",2
448,부산김해지사,68188,김해진영,2018-11-18,일,7:36,22:48,"1,136,500","67,600","1,068,900","1,068,900",0,0,0,0,"971,711","97,189","167,500","652,500","248,900",0,0,0,0,0,0,"36,300",0,"31,300",0,0,0,111,"9,897",3
448,부산김해지사,68188,김해진영,2018-11-19,월,7:51,22:49,"996,200","21,000","975,200","975,200",0,0,0,0,"886,523","88,677","181,000","611,900","182,300",0,0,0,0,0,0,"12,000",0,"9,000",0,0,0,93,"10,486",0
448,부산김해지사,68188,김해진영,2018-11-20,화,7:45,22:49,"542,500","36,600","505,900","505,900",0,0,0,0,"459,902","45,998","106,800","342,400","56,700",0,0,0,0,0,0,"9,900",0,"26,700",0,0,0,64,"8,030",1
448,부산김해지사,68188,김해진영,2018-11-21,수,7:48,22:52,"672,500","42,400","630,100","630,100",0,0,0,0,"572,807","57,293","87,500","468,600","74,000",0,0,0,0,0,0,"10,600",0,"31,800",0,0,0,76,"8,515",2
448,부산김해지사,68188,김해진영,2018-11-22,목,7:55,22:50,"737,500","28,400","709,100","709,100",0,0,0,0,"644,626","64,474","132,800","515,400","60,900",0,0,0,0,0,0,"5,000",0,"23,400",0,0,0,72,"9,987",1
448,부산김해지사,68188,김해진영,2018-11-23,금,7:47,22:50,"624,100","35,800","588,300","588,300",0,0,0,0,"534,804","53,496","163,300","363,300","61,700",0,0,0,0,0,0,"22,800",0,"13,000",0,0,0,70,"8,404",0
448,부산김해지사,68188,김해진영,2018-11-24,토,7:26,22:30,"896,200","49,900","846,300","846,300",0,0,0,0,"769,354","76,946","138,000","623,800","84,500",0,0,0,0,0,0,"22,300",0,"27,600",0,0,0,115,"7,424",1
448,부산김해지사,68188,김해진영,2018-11-25,일,7:29,22:38,"1,283,400","33,800","1,249,600","1,249,600",0,0,0,0,"1,135,975","113,625","173,300","943,600","132,700",0,0,0,0,0,0,"19,200",0,"14,600",0,0,0,130,"9,612",0
448,부산김해지사,68188,김해진영,2018-11-26,월,8:01,22:49,"755,500","51,200","704,300","704,300",0,0,0,0,"640,261","64,039","128,500","470,300","105,500",0,0,0,0,0,0,"19,600",0,"31,600",0,0,0,82,"8,695",1
448,부산김해지사,68188,김해진영,2018-11-27,화,7:54,22:51,"714,300","56,300","658,000","658,000",0,0,0,0,"598,172","59,828","136,100","508,300","13,600",0,0,0,0,0,0,"26,800",0,"29,500",0,0,0,76,"9,139",4
448,부산김해지사,68188,김해진영,2018-11-28,수,7:59,22:29,"688,700","33,300","655,400","655,400",0,0,0,0,"595,804","59,596","73,400","464,400","117,600",0,0,0,0,0,0,"12,100",0,"21,200",0,0,0,74,"8,978",1
448,부산김해지사,68188,김해진영,2018-11-29,목,7:44,22:31,"575,000","15,500","559,500","559,500",0,0,0,0,"508,621","50,879","134,300","373,400","51,800",0,0,0,0,0,0,"3,000",0,"12,500",0,0,0,61,"9,483",2
448,부산김해지사,68188,김해진영,2018-11-30,금,7:56,22:34,"697,400","41,020","656,380","656,380",0,0,0,0,"596,691","59,689","88,400","496,380","71,600",0,0,0,0,0,"1,120","12,300",0,"27,600",0,0,0,76,"8,637",0
448,부산김해지사,68188,김해진영,2018-12-01,토,7:31,22:30,"1,079,900","30,200","1,049,700","1,049,700",0,0,0,0,"954,251","95,449","227,700","741,500","80,500",0,0,0,0,0,0,"16,200",0,"14,000",0,0,0,113,"9,289",0
