매출일자,요일,총매출,매장매출,배달매출
2019-09-01,일,851100,582400,268700
2019-09-02,월,621400,471000,150400
2019-09-03,화,849000,525900,323100
2019-09-04,수,671600,551100,120500
2019-09-05,목,737500,468160,269340
2019-09-06,금,789900,580000,209900
2019-09-07,토,910100,574500,335600
2019-09-08,일,1366800,907200,459600
2019-09-09,월,1050700,762200,288500
2019-09-10,화,855400,711600,143800
2019-09-11,수,852300,677400,174900
2019-09-12,목,996000,980900,15100
2019-09-14,토,1449600,1034100,415500
2019-09-15,일,1260200,832300,427900
2019-09-16,월,967800,820400,147400
2019-09-17,화,850200,578800,271400
2019-09-18,수,728300,586600,141700
2019-09-19,목,874000,629800,244200
2019-09-20,금,784300,504400,279900
2019-09-21,토,1182300,893000,289300
2019-09-22,일,1125800,537600,588200
2019-09-23,월,713000,552700,160300
2019-09-24,화,735700,522700,213000
2019-09-25,수,965900,601700,364200
2019-09-26,목,993500,786400,207100
2019-09-27,금,898800,665120,233680
2019-09-28,토,1095000,800920,294080
2019-09-29,일,1340900,856900,484000
2019-09-30,월,663800,525620,138180
2019-10-01,화,861200,497800,363400
2019-10-02,수,734700,551500,183200
2019-10-03,목,1213200,725000,488200
2019-10-04,금,1001000,750200,250800
2019-10-05,토,1034100,745900,288200
2019-10-06,일,1401200,1034600,366600
2019-10-07,월,842100,596500,245600
2019-10-08,화,838500,597200,241300
2019-10-09,수,1067200,751300,315900
2019-10-10,목,703500,543800,159700
2019-10-11,금,978100,692400,285700
2019-10-12,토,1245800,912720,333080
2019-10-13,일,1200400,780200,420200
2019-10-14,월,917800,668000,249800
2019-10-15,화,763000,635300,127700
2019-10-16,수,801000,512820,288180
2019-10-17,목,884400,549100,335300
2019-10-18,금,798600,555000,243600
2019-10-19,토,1258200,1072500,185700
2019-10-20,일,1221100,804700,416400
2019-10-21,월,800800,547620,253180
2019-10-22,화,1002900,747900,255000
2019-10-23,수,878800,593900,284900
2019-10-24,목,750700,517000,233700
2019-10-25,금,909200,672200,237000
2019-10-26,토,1206400,874100,332300
2019-10-27,일,1116000,810900,305100
2019-10-28,월,998100,663800,334300
2019-10-29,화,710800,558220,152580
2019-10-30,수,749300,455860,293440
2019-10-31,목,846100,568820,277280
2019-11-01,금,1734700,1577800,156900
2019-11-02,토,1244000,940000,304000
2019-11-03,일,1022100,756780,265320
2019-11-04,월,590000,445800,144200
2019-11-05,화,1023800,628500,395300
2019-11-06,수,622700,478040,144660
2019-11-07,목,822300,576700,245600
2019-11-08,금,908600,681000,227600
2019-11-09,토,1317800,922600,395200
2019-11-10,일,1467500,1022100,445400
2019-11-11,월,929900,667600,262300
2019-11-12,화,944500,682500,262000
2019-11-13,수,836100,539400,296700
2019-11-14,목,689700,455200,234500
2019-11-15,금,1258600,947200,311400
2019-11-16,토,1152200,941300,210900
2019-11-17,일,1384400,802200,582200
2019-11-18,월,743700,540200,203500
2019-11-19,화,824400,516000,308400
2019-11-20,수,943400,507900,435500
2019-11-21,목,766600,558000,208600
2019-11-22,금,710500,495300,215200
2019-11-23,토,1379700,1079900,299800
2019-11-24,일,1114300,849800,264500
2019-11-25,월,821500,595140,226360
2019-11-26,화,563400,444200,119200
2019-11-27,수,725800,544900,180900
2019-11-28,목,877400,615300,262100
2019-11-29,금,878100,719200,158900
2019-11-30,토,1316300,1069100,247200
2019-12-01,일,1063100,667100,396000
2019-12-02,월,748500,556900,191600
2019-12-03,화,654400,521800,132600
2019-12-04,수,659300,425600,233700
2019-12-05,목,835200,515700,319500
2019-12-06,금,846400,635300,211100
2019-12-07,토,1177100,817800,359300
2019-12-08,일,989300,639400,349900
2019-12-09,월,693700,444300,249400
2019-12-10,화,611700,399800,211900
2019-12-11,수,571100,402780,168320
2019-12-12,목,618700,464300,154400
2019-12-13,금,668500,424200,244300
2019-12-14,토,915800,659900,255900
2019-12-15,일,1336200,903700,432500
2019-12-16,월,916500,652280,264220
2019-12-17,화,732300,553700,178600
2019-12-18,수,725300,463200,262100
2019-12-19,목,622000,380000,242000
2019-12-20,금,972800,775840,196960
2019-12-21,토,778800,581400,197400
2019-12-22,일,969600,588200,381400
2019-12-23,월,822600,486600,336000
2019-12-24,화,794000,552800,241200
2019-12-25,수,937500,641000,296500
2019-12-26,목,688400,473800,214600
2019-12-27,금,926600,597700,328900
2019-12-28,토,883200,615600,267600
2019-12-29,일,1030800,518200,512600
2019-12-30,월,730200,555500,174700
2019-12-31,화,847700,563200,284500
2020-01-01,수,1005300,669500,335800
2020-01-02,목,917400,638800,278600
2020-01-03,금,971500,655620,315880
2020-01-04,토,1009800,586600,423200
2020-01-05,일,1109300,605900,503400
2020-01-06,월,835800,543400,292400
2020-01-07,화,753300,462440,290860
2020-01-08,수,1192600,857700,334900
2020-01-09,목,727500,444020,283480
2020-01-10,금,729200,503340,225860
2020-01-11,토,1096000,792800,303200
2020-01-12,일,1171600,756800,414800
2020-01-13,월,762500,570600,191900
2020-01-14,화,816200,605420,210780
2020-01-15,수,833600,620200,213400
2020-01-16,목,905800,614300,291500
2020-01-17,금,759000,522800,236200
2020-01-18,토,1101800,708120,393680
2020-01-19,일,974400,665000,309400
2020-01-20,월,824200,518200,306000
2020-01-21,화,840800,637200,203600
2020-01-22,수,818200,544800,273400
2020-01-23,목,906600,492600,414000
2020-01-24,금,1205300,934200,271100
2020-01-26,일,965800,943900,21900
2020-01-27,월,1174700,633680,541020
2020-01-28,화,963600,624020,339580
2020-01-29,수,879400,606700,272700
2020-01-30,목,862200,615500,246700
2020-01-31,금,959700,675400,284300
2020-02-01,토,1204000,804200,399800
2020-02-02,일,1229100,772700,456400
2020-02-03,월,1033000,682900,350100
2020-02-04,화,731200,433500,297700
2020-02-05,수,1141400,799300,342100
2020-02-06,목,835500,566100,269400
2020-02-07,금,850900,520200,330700
2020-02-08,토,1159200,992300,166900
2020-02-09,일,1392700,912300,480400
2020-02-10,월,977800,656100,321700
2020-02-11,화,1005000,587900,417100
2020-02-12,수,849400,624800,224600
2020-02-13,목,976500,600200,376300
2020-02-14,금,1032800,631200,401600
2020-02-15,토,1463600,1082300,381300
2020-02-16,일,1277400,792000,485400
2020-02-17,월,845500,566400,279100
2020-02-18,화,816500,520900,295600
2020-02-19,수,1103000,757080,345920
2020-02-20,목,758100,505300,252800
2020-02-21,금,1049500,728600,320900
2020-02-22,토,782700,424900,357800
2020-02-23,일,1151400,714200,437200
2020-02-24,월,886500,566120,320380
2020-02-25,화,792700,384700,408000
2020-02-26,수,646800,436500,210300
2020-02-27,목,780400,505700,274700
2020-02-28,금,815000,469500,345500
2020-02-29,토,1078200,505000,573200
2020-03-01,일,1221200,715300,505900
2020-03-02,월,1023800,656300,367500
2020-03-03,화,813500,552700,260800
2020-03-04,수,730300,492200,238100
2020-03-05,목,828700,484700,344000
2020-03-06,금,686300,390900,295400
2020-03-07,토,1121400,756700,364700
2020-03-08,일,1352900,829400,523500
2020-03-09,월,960100,621200,338900
2020-03-10,화,827000,585700,241300
2020-03-11,수,1009000,733100,275900
2020-03-12,목,1144400,754500,389900
2020-03-13,금,895500,453500,442000
2020-03-14,토,1327100,802000,525100
2020-03-15,일,1272100,839800,432300
2020-03-16,월,871300,536000,335300
2020-03-17,화,993700,680300,313400
2020-03-18,수,1163100,688500,474600
2020-03-19,목,821100,447300,373800
2020-03-20,금,900200,600300,299900
2020-03-21,토,1243400,949200,294200
2020-03-22,일,1260000,928200,331800
2020-03-23,월,1002600,611300,391300
2020-03-24,화,787700,547900,239800
2020-03-25,수,960900,538600,422300
2020-03-26,목,653200,443700,209500
2020-03-27,금,883300,605300,278000
2020-03-28,토,1175600,849100,326500
2020-03-29,일,896500,580200,316300
2020-03-30,월,810000,460000,350000
2020-03-31,화,803700,551100,252600
2020-04-01,수,880300,640900,239400
2020-04-02,목,736700,622000,114700
